Flight No.,"Version,Booster[b]",Launch site,Payload[c],Payload mass,Orbit,Customer,Launchoutcome,Boosterlanding,1,2,3,4,5,6,7,Payload,Launch outcome,Version Booster,Booster landing,Date,Time
1,,F9 v1.07B0003.18,,0,LEO,SpaceX,,,,,,,,,,Dragon Spacecraft Qualification Unit,"Success
",F9 v1.07B0003.18,"Success
",4 June 2010,18:45
1,,F9 v1.07B0003.18,,0,LEO,SpaceX,,,,,,,,,,Dragon Spacecraft Qualification Unit,Success,F9 v1.07B0003.18,Success,4 June 2010,18:45
1,,F9 v1.07B0003.18,,0,LEO,SpaceX,,,,,,,,,,Dragon Spacecraft Qualification Unit,Success,F9 v1.07B0003.18,Success,4 June 2010,18:45
1,,F9 v1.07B0003.18,,0,LEO,NASA,,,,,,,,,,Dragon Spacecraft Qualification Unit,"Success
",F9 v1.07B0003.18,"Success
",4 June 2010,18:45
1,,F9 v1.07B0003.18,,0,LEO,NASA,,,,,,,,,,Dragon Spacecraft Qualification Unit,"Success
",F9 v1.07B0003.18,"Success
",4 June 2010,18:45
1,,F9 v1.07B0003.18,,0,LEO,NASA,,,,,,,,,,Dragon,Success,F9 v1.07B0003.18,Success,4 June 2010,18:45
1,,F9 v1.07B0003.18,,525 kg,LEO,NASA,,,,,,,,,,Dragon,Success,F9 v1.07B0003.18,Success,4 June 2010,18:45
1,,F9 v1.07B0003.18,,"4,700 kg",LEO,MDA,,,,,,,,,,SpaceX CRS-1,Success,F9 v1.07B0003.18,Success,4 June 2010,18:45
1,,F9 v1.07B0003.18,,"4,877 kg",Polar orbit,SES,,,,,,,,,,SpaceX CRS-2,"Success
",F9 v1.07B0003.18,"Success
",4 June 2010,18:45
1,,F9 v1.07B0004.18,,500 kg,GTO,Thaicom,,,,,,,,,,CASSIOPE,Success,F9 v1.07B0004.18,Success,4 June 2010,18:45
1,,F9 v1.07B0005.18,,"3,170 kg",GTO,NASA,,,,,,,,,,SES-8,Success,F9 v1.07B0005.18,Success,4 June 2010,15:43
1,,F9 v1.07B0006.18,,"3,325 kg",LEO,Orbcomm,,,,,,,,,,Thaicom 6,Success,F9 v1.07B0006.18,Success,8 December 2010,07:44
1,,F9 v1.07B0007.18,,"2,296 kg",LEO,AsiaSat,,,,,,,,,,SpaceX CRS-3,Success,F9 v1.07B0007.18,Success,22 May 2012,00:35
2,,F9 v1.17B10038,,"1,316 kg",GTO,AsiaSat,,,,,,,,,,Orbcomm-OG2,Success,F9 v1.17B10038,Success,8 October 2012,15:10
3,,F9 v1.1,,"4,535 kg",GTO,NASA,,,,,,,,,,AsiaSat 8,"Success
",F9 v1.1,"Success
",1 March 2013,16:00
4,,F9 v1.1,,"4,428 kg",LEO,NASA,,,,,,,,,,AsiaSat 6,"Success
",F9 v1.1,"Success
",29 September 2013,22:41
